date,nation,player,position,age,current_ability,condition,injured
2026-06-10,Austria,Austria Player 5,DEF,32,141.7,0.938,0
2026-06-10,Austria,Austria Player 6,DEF,23,136.5,0.902,1
2026-06-10,Austria,Austria Player 7,DEF,24,139.2,0.804,0
2026-06-10,Austria,Austria Player 8,DEF,28,145.0,0.937,0
2026-06-10,Austria,Austria Player 9,DEF,26,146.6,0.915,0
2026-06-10,Austria,Austria Player 10,DEF,30,134.3,0.975,0
2026-06-10,Austria,Austria Player 11,DEF,29,145.4,0.994,0
2026-06-10,Austria,Austria Player 12,MID,27,140.6,0.881,0
2026-06-10,Austria,Austria Player 13,MID,24,134.0,0.931,0
2026-06-10,Austria,Austria Player 14,MID,24,134.0,0.94,0
2026-06-10,Austria,Austria Player 15,MID,24,131.8,0.903,0
2026-06-10,Austria,Austria Player 16,MID,33,141.4,0.921,0
2026-06-10,Austria,Austria Player 17,MID,30,137.8,0.956,0
2026-06-10,Austria,Austria Player 18,MID,23,120.9,0.919,0
2026-06-10,Austria,Austria Player 19,MID,28,130.0,0.911,0
2026-06-10,Austria,Austria Player 20,ATT,29,140.8,0.833,0
2026-06-10,Austria,Austria Player 21,ATT,32,135.6,0.952,0
2026-06-10,Austria,Austria Player 22,ATT,25,132.4,0.882,0
2026-06-10,Austria,Austria Player 23,ATT,23,131.1,0.945,0
2026-06-10,Austria,Austria Player 24,ATT,28,132.4,0.988,0
2026-06-10,Austria,Austria Player 25,ATT,23,125.6,0.916,0
2026-06-10,Austria,Austria Player 26,ATT,25,135.8,0.901,0
2026-06-10,Belgium,Belgium Player 1,GK,29,158.7,0.95,0
2026-06-10,Belgium,Belgium Player 2,GK,32,160.6,0.892,0
2026-06-10,Belgium,Belgium Player 3,GK,23,154.5,0.873,0
2026-06-10,Belgium,Belgium Player 4,DEF,37,161.9,0.949,0
2026-06-10,Belgium,Belgium Player 5,DEF,28,159.4,0.916,0
2026-06-10,Belgium,Belgium Player 6,DEF,21,146.4,0.846,0
2026-06-10,Belgium,Belgium Player 7,DEF,28,155.0,0.912,0
2026-06-10,Belgium,Belgium Player 8,DEF,27,146.1,0.881,1
2026-06-10,Belgium,Belgium Player 9,DEF,27,148.0,0.889,0
2026-06-10,Belgium,Belgium Player 10,DEF,27,155.6,0.856,0
2026-06-10,Belgium,Belgium Player 11,DEF,26,146.5,0.896,0
2026-06-10,Belgium,Belgium Player 12,MID,28,140.8,0.845,1
2026-06-10,Belgium,Belgium Player 13,MID,32,147.0,0.827,0
2026-06-10,Belgium,Belgium Player 14,MID,27,151.5,0.926,0
2026-06-10,Belgium,Belgium Player 15,MID,30,151.8,0.893,0
2026-06-10,Belgium,Belgium Player 16,MID,23,137.0,0.944,0
2026-06-10,Belgium,Belgium Player 17,MID,27,144.6,0.954,1
2026-06-10,Belgium,Belgium Player 18,MID,28,141.1,0.979,0
2026-06-10,Belgium,Belgium Player 19,MID,23,144.1,0.886,0
2026-06-10,Belgium,Belgium Player 20,ATT,30,142.9,0.796,0
2026-06-10,Belgium,Belgium Player 21,ATT,23,143.4,0.979,0
2026-06-10,Belgium,Belgium Player 22,ATT,29,132.1,0.875,0
2026-06-10,Belgium,Belgium Player 23,ATT,28,145.5,0.843,0
2026-06-10,Belgium,Belgium Player 24,ATT,30,139.0,1.0,0
2026-06-10,Belgium,Belgium Player 25,ATT,27,140.0,0.898,0
2026-06-10,Belgium,Belgium Player 26,ATT,28,142.4,0.911,0
2026-06-10,Bosnia and Herzegovina,Bosnia and Herzegovina Player 1,GK,27,126.2,0.951,0
2026-06-10,Bosnia and Herzegovina,Bosnia and Herzegovina Player 2,GK,26,133.2,0.921,0
2026-06-10,Bosnia and Herzegovina,Bosnia and Herzegovina Player 3,GK,30,110.4,0.948,0
2026-06-10,Bosnia and Herzegovina,Bosnia and Herzegovina Player 4,DEF,27,118.1,0.921,0
2026-06-10,Bosnia and Herzegovina,Bosnia and Herzegovina Player 5,DEF,27,117.1,0.866,0
2026-06-10,Bosnia and Herzegovina,Bosnia and Herzegovina Player 6,DEF,30,129.3,0.929,0
2026-06-10,Bosnia and Herzegovina,Bosnia and Herzegovina Player 7,DEF,30,110.0,0.845,0
2026-06-10,Bosnia and Herzegovina,Bosnia and Herzegovina Player 8,DEF,20,115.7,0.861,0
2026-06-10,Bosnia and Herzegovina,Bosnia and Herzegovina Player 9,DEF,24,119.7,0.894,0
2026-06-10,Bosnia and Herzegovina,Bosnia and Herzegovina Player 10,DEF,27,133.6,0.94,0
2026-06-10,Bosnia and Herzegovina,Bosnia and Herzegovina Player 11,DEF,27,130.4,0.927,0
2026-06-10,Bosnia and Herzegovina,Bosnia and Herzegovina Player 12,MID,25,120.8,0.968,0
2026-06-10,Bosnia and Herzegovina,Bosnia and Herzegovina Player 13,MID,27,112.2,0.909,0
2026-06-10,Bosnia and Herzegovina,Bosnia and Herzegovina Player 14,MID,28,104.9,0.909,0
2026-06-10,Bosnia and Herzegovina,Bosnia and Herzegovina Player 15,MID,27,109.9,0.952,0
2026-06-10,Bosnia and Herzegovina,Bosnia and Herzegovina Player 16,MID,25,103.5,0.889,0
2026-06-10,Bosnia and Herzegovina,Bosnia and Herzegovina Player 17,MID,27,97.9,0.957,0
2026-06-10,Bosnia and Herzegovina,Bosnia and Herzegovina Player 18,MID,23,116.0,0.967,0
2026-06-10,Bosnia and Herzegovina,Bosnia and Herzegovina Player 19,MID,25,101.2,0.953,0
2026-06-10,Bosnia and Herzegovina,Bosnia and Herzegovina Player 20,ATT,25,116.1,0.957,0
2026-06-10,Bosnia and Herzegovina,Bosnia and Herzegovina Player 21,ATT,29,97.0,0.909,0
2026-06-10,Bosnia and Herzegovina,Bosnia and Herzegovina Player 22,ATT,26,118.4,0.932,0
2026-06-10,Bosnia and Herzegovina,Bosnia and Herzegovina Player 23,ATT,22,104.2,0.889,0
2026-06-10,Bosnia and Herzegovina,Bosnia and Herzegovina Player 24,ATT,25,105.3,0.969,1
2026-06-10,Bosnia and Herzegovina,Bosnia and Herzegovina Player 25,ATT,22,107.6,0.948,0
2026-06-10,Bosnia and Herzegovina,Bosnia and Herzegovina Player 26,ATT,28,103.6,0.865,0
2026-06-10,Brazil,Brazil Player 1,GK,28,171.1,0.931,0
2026-06-10,Brazil,Brazil Player 2,GK,31,165.1,0.934,0
2026-06-10,Brazil,Brazil Player 3,GK,26,169.4,0.95,1
2026-06-10,Brazil,Brazil Player 4,DEF,27,163.8,0.882,0
2026-06-10,Brazil,Brazil Player 5,DEF,25,153.5,0.926,1
2026-06-10,Brazil,Brazil Player 6,DEF,21,156.3,0.917,0
2026-06-10,Brazil,Brazil Player 7,DEF,27,161.9,0.946,0
2026-06-10,Brazil,Brazil Player 8,DEF,22,163.2,0.865,0
2026-06-10,Brazil,Brazil Player 9,DEF,24,152.6,0.932,0
2026-06-10,Brazil,Brazil Player 10,DEF,26,156.4,0.852,0
2026-06-10,Brazil,Brazil Player 11,DEF,27,155.4,0.972,0
2026-06-10,Brazil,Brazil Player 12,MID,25,156.3,0.908,0
2026-06-10,Brazil,Brazil Player 13,MID,28,155.3,0.96,0
2026-06-10,Brazil,Brazil Player 14,MID,26,157.0,0.93,0
2026-06-10,Brazil,Brazil Player 15,MID,26,156.2,0.965,0
2026-06-10,Brazil,Brazil Player 16,MID,33,156.1,0.932,0
2026-06-10,Brazil,Brazil Player 17,MID,26,146.4,0.943,0
2026-06-10,Brazil,Brazil Player 18,MID,31,150.5,0.917,0
2026-06-10,Brazil,Brazil Player 19,MID,19,148.0,0.898,0
2026-06-10,Brazil,Brazil Player 20,ATT,25,154.3,0.912,0
2026-06-10,Brazil,Brazil Player 21,ATT,34,158.4,0.958,0
2026-06-10,Brazil,Brazil Player 22,ATT,25,143.6,0.886,0
2026-06-10,Brazil,Brazil Player 23,ATT,32,143.1,0.939,0
2026-06-10,Brazil,Brazil Player 24,ATT,22,151.8,0.893,0
2026-06-10,Brazil,Brazil Player 25,ATT,33,146.3,0.918,0
2026-06-10,Brazil,Brazil Player 26,ATT,28,140.8,0.922,0
2026-06-10,Canada,Canada Player 1,GK,24,152.5,0.965,0
2026-06-10,Canada,Canada Player 2,GK,31,140.9,0.971,0
2026-06-10,Canada,Canada Player 3,GK,29,129.2,0.956,0
2026-06-10,Canada,Canada Player 4,DEF,33,146.7,0.881,0
2026-06-10,Canada,Canada Player 5,DEF,28,146.6,0.895,0
2026-06-10,Canada,Canada Player 6,DEF,32,142.5,0.917,1
2026-06-10,Canada,Canada Player 7,DEF,31,149.8,0.879,0
2026-06-10,Canada,Canada Player 8,DEF,20,141.9,0.883,0
2026-06-10,Canada,Canada Player 9,DEF,28,139.9,0.907,0
2026-06-10,Canada,Canada Player 10,DEF,26,150.0,0.883,0
2026-06-10,Canada,Canada Player 11,DEF,31,137.4,0.977,0
2026-06-10,Canada,Canada Player 12,MID,22,135.5,0.922,0
2026-06-10,Canada,Canada Player 13,MID,28,134.7,0.917,0
2026-06-10,Canada,Canada Player 14,MID,31,132.8,0.911,0
2026-06-10,Canada,Canada Player 15,MID,22,142.4,0.943,0
2026-06-10,Canada,Canada Player 16,MID,26,141.2,0.959,0
2026-06-10,Canada,Canada Player 17,MID,26,137.2,0.904,1
2026-06-10,Canada,Canada Player 18,MID,30,134.7,0.914,0
2026-06-10,Canada,Canada Player 19,MID,29,129.0,0.894,0
2026-06-10,Canada,Canada Player 20,ATT,28,131.5,0.968,0
2026-06-10,Canada,Canada Player 21,ATT,20,127.2,0.861,0
2026-06-10,Canada,Canada Player 22,ATT,28,131.9,0.827,0
2026-06-10,Canada,Canada Player 23,ATT,26,119.7,0.958,0
2026-06-10,Canada,Canada Player 24,ATT,26,129.2,0.882,0
2026-06-10,Canada,Canada Player 25,ATT,20,128.9,0.936,0
2026-06-10,Canada,Canada Player 26,ATT,26,122.3,0.93,0
2026-06-10,Cape Verde,Cape Verde Player 1,GK,25,124.1,0.912,0
2026-06-10,Cape Verde,Cape Verde Player 2,GK,31,130.2,0.946,0
2026-06-10,Cape Verde,Cape Verde Player 3,GK,33,123.4,0.864,0
2026-06-10,Cape Verde,Cape Verde Player 4,DEF,23,131.5,0.989,0
2026-06-10,Cape Verde,Cape Verde Player 5,DEF,23,115.4,0.917,0
2026-06-10,Cape Verde,Cape Verde Player 6,DEF,22,124.0,0.837,0
2026-06-10,Cape Verde,Cape Verde Player 7,DEF,26,119.1,0.916,0
2026-06-10,Cape Verde,Cape Verde Player 8,DEF,28,127.3,0.849,0
2026-06-10,Cape Verde,Cape Verde Player 9,DEF,22,120.6,0.852,0
2026-06-10,Cape Verde,Cape Verde Player 10,DEF,27,122.9,0.881,0
2026-06-10,Cape Verde,Cape Verde Player 11,DEF,29,110.5,0.911,0
2026-06-10,Cape Verde,Cape Verde Player 12,MID,31,117.4,0.999,0
2026-06-10,Cape Verde,Cape Verde Player 13,MID,28,110.9,0.977,0
2026-06-10,Cape Verde,Cape Verde Player 14,MID,31,108.8,0.942,0
2026-06-10,Cape Verde,Cape Verde Player 15,MID,31,106.0,0.893,0
2026-06-10,Cape Verde,Cape Verde Player 16,MID,31,114.5,0.975,0
2026-06-10,Cape Verde,Cape Verde Player 17,MID,26,112.9,0.931,0
2026-06-10,Cape Verde,Cape Verde Player 18,MID,30,111.2,0.901,0
2026-06-10,Cape Verde,Cape Verde Player 19,MID,20,105.3,0.955,0
2026-06-10,Cape Verde,Cape Verde Player 20,ATT,26,106.6,0.911,0
2026-06-10,Cape Verde,Cape Verde Player 21,ATT,25,110.8,0.837,0
2026-06-10,Cape Verde,Cape Verde Player 22,ATT,35,108.9,0.917,0
2026-06-10,Cape Verde,Cape Verde Player 23,ATT,29,101.2,0.887,0
2026-06-10,Cape Verde,Cape Verde Player 24,ATT,27,102.6,0.911,0
2026-06-10,Cape Verde,Cape Verde Player 25,ATT,24,104.7,0.877,1
2026-06-10,Cape Verde,Cape Verde Player 26,ATT,26,92.5,0.872,0
2026-06-10,Colombia,Colombia Player 1,GK,25,164.4,0.904,0
2026-06-10,Colombia,Colombia Player 2,GK,26,158.8,0.914,0
2026-06-10,Colombia,Colombia Player 3,GK,29,162.8,0.948,0
2026-06-10,Colombia,Colombia Player 4,DEF,25,167.2,0.929,0
2026-06-10,Colombia,Colombia Player 5,DEF,26,162.0,0.971,0
2026-06-10,Colombia,Colombia Player 6,DEF,32,165.3,0.835,0
2026-06-10,Colombia,Colombia Player 7,DEF,29,151.1,0.939,0
2026-06-10,Colombia,Colombia Player 8,DEF,26,167.5,0.973,0
2026-06-10,Colombia,Colombia Player 9,DEF,26,159.4,0.938,0
2026-06-10,Colombia,Colombia Player 10,DEF,26,147.4,0.906,0
2026-06-10,Colombia,Colombia Player 11,DEF,20,149.1,0.904,0
2026-06-10,Colombia,Colombia Player 12,MID,22,156.6,0.884,0
2026-06-10,Colombia,Colombia Player 13,MID,30,156.9,0.937,1
2026-06-10,Colombia,Colombia Player 14,MID,29,141.3,0.935,0
2026-06-10,Colombia,Colombia Player 15,MID,28,158.5,0.937,0
2026-06-10,Colombia,Colombia Player 16,MID,22,155.4,0.916,0
2026-06-10,Colombia,Colombia Player 17,MID,31,148.9,0.893,0
2026-06-10,Colombia,Colombia Player 18,MID,25,157.5,0.853,0
2026-06-10,Colombia,Colombia Player 19,MID,18,146.1,0.937,0
2026-06-10,Colombia,Colombia Player 20,ATT,22,147.3,0.96,0
2026-06-10,Colombia,Colombia Player 21,ATT,32,152.8,0.934,0
2026-06-10,Colombia,Colombia Player 22,ATT,22,142.1,0.972,0
2026-06-10,Colombia,Colombia Player 23,ATT,30,148.4,0.887,0
2026-06-10,Colombia,Colombia Player 24,ATT,30,152.8,0.875,0
2026-06-10,Colombia,Colombia Player 25,ATT,26,150.7,0.906,0
2026-06-10,Colombia,Colombia Player 26,ATT,30,148.3,0.892,1
2026-06-10,Croatia,Croatia Player 1,GK,25,157.6,0.927,0
2026-06-10,Croatia,Croatia Player 2,GK,21,154.2,0.932,0
2026-06-10,Croatia,Croatia Player 3,GK,29,146.3,0.978,0
2026-06-10,Croatia,Croatia Player 4,DEF,28,149.0,0.927,0
2026-06-10,Croatia,Croatia Player 5,DEF,26,152.9,0.933,0
2026-06-10,Croatia,Croatia Player 6,DEF,26,155.0,0.9,0
2026-06-10,Croatia,Croatia Player 7,DEF,26,140.6,0.952,0
2026-06-10,Croatia,Croatia Player 8,DEF,28,148.5,0.906,0
2026-06-10,Croatia,Croatia Player 9,DEF,29,153.4,0.903,0
2026-06-10,Croatia,Croatia Player 10,DEF,23,138.9,0.958,0
2026-06-10,Croatia,Croatia Player 11,DEF,24,149.2,0.866,0
2026-06-10,Croatia,Croatia Player 12,MID,24,139.3,0.897,0
2026-06-10,Croatia,Croatia Player 13,MID,27,153.8,0.947,0
2026-06-10,Croatia,Croatia Player 14,MID,24,143.0,0.924,0
2026-06-10,Croatia,Croatia Player 15,MID,27,136.4,0.99,0
2026-06-10,Croatia,Croatia Player 16,MID,26,147.6,0.888,0
2026-06-10,Croatia,Croatia Player 17,MID,21,137.3,0.824,0
2026-06-10,Croatia,Croatia Player 18,MID,22,136.8,0.948,1
2026-06-10,Croatia,Croatia Player 19,MID,30,144.0,0.953,1
2026-06-10,Croatia,Croatia Player 20,ATT,26,143.7,0.948,0
2026-06-10,Croatia,Croatia Player 21,ATT,24,131.9,0.867,0
2026-06-10,Croatia,Croatia Player 22,ATT,26,130.5,0.91,0
2026-06-10,Croatia,Croatia Player 23,ATT,30,133.4,0.94,0
2026-06-10,Croatia,Croatia Player 24,ATT,24,136.7,0.892,0
2026-06-10,Croatia,Croatia Player 25,ATT,27,129.4,0.922,0
2026-06-10,Croatia,Croatia Player 26,ATT,28,139.0,0.923,0
2026-06-10,Curaçao,Curaçao Player 1,GK,23,118.1,0.893,0
2026-06-10,Curaçao,Curaçao Player 2,GK,23,114.0,0.899,0
2026-06-10,Curaçao,Curaçao Player 3,GK,25,118.1,0.872,1
2026-06-10,Curaçao,Curaçao Player 4,DEF,19,117.7,0.895,0
2026-06-10,Curaçao,Curaçao Player 5,DEF,30,116.7,0.955,1
2026-06-10,Curaçao,Curaçao Player 6,DEF,27,110.8,0.934,0
2026-06-10,Curaçao,Curaçao Player 7,DEF,24,111.1,0.866,0
2026-06-10,Curaçao,Curaçao Player 8,DEF,28,112.2,0.94,0
2026-06-10,Curaçao,Curaçao Player 9,DEF,26,110.8,0.994,0
2026-06-10,Curaçao,Curaçao Player 10,DEF,33,105.5,0.904,0
2026-06-10,Curaçao,Curaçao Player 11,DEF,28,108.9,0.926,0
2026-06-10,Curaçao,Curaçao Player 12,MID,35,110.7,0.945,0
2026-06-10,Curaçao,Curaçao Player 13,MID,32,106.8,0.938,0
2026-06-10,Curaçao,Curaçao Player 14,MID,17,120.2,0.96,0
2026-06-10,Curaçao,Curaçao Player 15,MID,23,96.2,0.908,0
2026-06-10,Curaçao,Curaçao Player 16,MID,29,105.2,0.968,0
2026-06-10,Curaçao,Curaçao Player 17,MID,27,111.2,0.891,0
2026-06-10,Curaçao,Curaçao Player 18,MID,24,99.5,0.977,0
2026-06-10,Curaçao,Curaçao Player 19,MID,28,110.5,0.932,0
2026-06-10,Curaçao,Curaçao Player 20,ATT,23,101.1,0.933,0
2026-06-10,Curaçao,Curaçao Player 21,ATT,24,93.8,0.945,1
2026-06-10,Curaçao,Curaçao Player 22,ATT,27,103.5,0.912,0
2026-06-10,Curaçao,Curaçao Player 23,ATT,27,102.1,0.971,0
2026-06-10,Curaçao,Curaçao Player 24,ATT,27,91.7,0.975,0
2026-06-10,Curaçao,Curaçao Player 25,ATT,27,95.5,0.895,0
2026-06-10,Curaçao,Curaçao Player 26,ATT,28,91.5,0.936,0
2026-06-10,Czech Republic,Czech Republic Player 1,GK,29,141.8,0.938,0
2026-06-10,Czech Republic,Czech Republic Player 2,GK,30,157.2,0.924,0
2026-06-10,Czech Republic,Czech Republic Player 3,GK,23,131.3,0.987,0
2026-06-10,Czech Republic,Czech Republic Player 4,DEF,25,131.3,0.881,0
2026-06-10,Czech Republic,Czech Republic Player 5,DEF,26,127.0,0.889,0
2026-06-10,Czech Republic,Czech Republic Player 6,DEF,26,128.9,0.87,0
2026-06-10,Czech Republic,Czech Republic Player 7,DEF,23,131.9,0.956,0
2026-06-10,Czech Republic,Czech Republic Player 8,DEF,27,133.7,0.879,0
2026-06-10,Czech Republic,Czech Republic Player 9,DEF,25,114.0,0.9,0
2026-06-10,Czech Republic,Czech Republic Player 10,DEF,26,129.6,0.925,0
2026-06-10,Czech Republic,Czech Republic Player 11,DEF,32,130.4,0.951,0
2026-06-10,Czech Republic,Czech Republic Player 12,MID,27,130.5,0.908,0
2026-06-10,Czech Republic,Czech Republic Player 13,MID,22,130.6,0.915,0
2026-06-10,Czech Republic,Czech Republic Player 14,MID,24,127.7,0.94,0
2026-06-10,Czech Republic,Czech Republic Player 15,MID,26,125.4,0.928,0
2026-06-10,Czech Republic,Czech Republic Player 16,MID,34,129.0,0.861,0
2026-06-10,Czech Republic,Czech Republic Player 17,MID,22,119.2,0.99,0
2026-06-10,Czech Republic,Czech Republic Player 18,MID,24,132.4,0.922,0
2026-06-10,Czech Republic,Czech Republic Player 19,MID,27,115.0,0.884,0
2026-06-10,Czech Republic,Czech Republic Player 20,ATT,17,126.9,0.929,0
2026-06-10,Czech Republic,Czech Republic Player 21,ATT,25,124.4,0.88,0
2026-06-10,Czech Republic,Czech Republic Player 22,ATT,27,121.2,0.919,0
2026-06-10,Czech Republic,Czech Republic Player 23,ATT,25,123.0,0.933,0
2026-06-10,Czech Republic,Czech Republic Player 24,ATT,28,109.1,0.897,0
2026-06-10,Czech Republic,Czech Republic Player 25,ATT,25,122.9,0.938,0
2026-06-10,Czech Republic,Czech Republic Player 26,ATT,22,113.9,0.892,0
2026-06-10,DR Congo,DR Congo Player 1,GK,24,122.2,0.997,1
2026-06-10,DR Congo,DR Congo Player 2,GK,29,132.6,0.883,0
2026-06-10,DR Congo,DR Congo Player 3,GK,23,140.8,0.931,1
2026-06-10,DR Congo,DR Congo Player 4,DEF,24,128.9,0.894,0
2026-06-10,DR Congo,DR Congo Player 5,DEF,28,125.1,0.949,0
2026-06-10,DR Congo,DR Congo Player 6,DEF,27,130.5,0.903,0
2026-06-10,DR Congo,DR Congo Player 7,DEF,27,142.9,0.867,0
2026-06-10,DR Congo,DR Congo Player 8,DEF,25,120.7,0.865,0
2026-06-10,DR Congo,DR Congo Player 9,DEF,26,124.1,0.925,0
2026-06-10,DR Congo,DR Congo Player 10,DEF,23,131.9,0.948,0
2026-06-10,DR Congo,DR Congo Player 11,DEF,29,122.4,0.873,1
2026-06-10,DR Congo,DR Congo Player 12,MID,29,109.9,0.952,0
2026-06-10,DR Congo,DR Congo Player 13,MID,24,121.7,0.959,0
2026-06-10,DR Congo,DR Congo Player 14,MID,27,127.7,1.0,1
2026-06-10,DR Congo,DR Congo Player 15,MID,23,125.3,0.944,0
2026-06-10,DR Congo,DR Congo Player 16,MID,25,134.2,0.905,0
2026-06-10,DR Congo,DR Congo Player 17,MID,17,125.5,0.967,0
2026-06-10,DR Congo,DR Congo Player 18,MID,28,117.8,0.919,0
2026-06-10,DR Congo,DR Congo Player 19,MID,26,124.2,0.896,0
2026-06-10,DR Congo,DR Congo Player 20,ATT,23,125.0,0.883,0
2026-06-10,DR Congo,DR Congo Player 21,ATT,22,104.7,0.894,1
2026-06-10,DR Congo,DR Congo Player 22,ATT,30,121.5,0.929,0
2026-06-10,DR Congo,DR Congo Player 23,ATT,28,107.0,0.889,0
2026-06-10,DR Congo,DR Congo Player 24,ATT,30,108.7,0.903,0
2026-06-10,DR Congo,DR Congo Player 25,ATT,26,113.0,0.872,0
2026-06-10,DR Congo,DR Congo Player 26,ATT,29,108.8,0.836,0
2026-06-10,Ecuador,Ecuador Player 1,GK,23,156.0,0.955,1
